"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-19","0.23",",,S","83","H,,S","86",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-21","0.01",",,S","83","H,,S","89",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-22","0.01",",,S","83","H,,S","88",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-23","0.00",",,S","83","H,,S",,,"77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-24","0.00",",,S","85","H,,S",,,"77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-25","0.13",",,S","82","H,,S","88",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-27","0.03",",,S","85","H,,S","89",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-28","0.00",",,S","84","H,,S","89",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-29","0.00",",,S","83","H,,S","90",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-30","0.00",",,S","85","H,,S","92",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-31","0.00",",,S","85","H,,S",,,"77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-01","0.00",",,S","85","H,,S","91",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-02","0.00",",,S","87","H,,S","91",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-05","0.00",",,S","84","H,,S",,,"78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-06","0.19",",,S","86","H,,S","91",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-07","0.00",",,S","83","H,,S",,,"78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-08","0.98",",,S","81","H,,S","87",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-09","0.12",",,S","82","H,,S","87",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-10","0.55",",,S","80","H,,S","82",",,S","76",",,S"
